id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,cluster
4S1VYqwfkLit9mKVY3MXoo,0.42,0.489,0.483,0.0028,0.236,0.0275,136.822,0.333,226706,-9.466,23
0qi4b1l0eT3jpzeNHeFXDT,0.403,0.766,0.772,0.0584,0.183,0.0353,128.168,0.919,220893,-9.362,13
2KH16WveTQWT6KOG9Rg6e2,0.132,0.817,0.599,0.000311,0.0873,0.0328,108.873,0.548,245640,-9.249,22
7FwBtcecmlpc1sLySPXeGE,0.0115,0.527,0.942,0.0,0.188,0.0366,148.723,0.495,241307,-5.64,25
3MrRksHupTVEQ7YbA0FsZK,0.0628,0.529,0.843,0.000827,0.0608,0.0616,117.662,0.188,310333,-6.908,17
3XDeeP9wBZzGhIPZmLfEEx,0.214,0.661,0.552,0.0,0.206,0.0337,92.056,0.928,252760,-12.385,22
4w3tQBXhn5345eUXDGBWZG,0.416,0.554,0.783,1.54e-06,0.631,0.0457,105.39,0.813,162467,-5.852,18
2bCQHF9gdG5BNDVuEIEnNk,0.247,0.853,0.981,0.468,0.306,0.0751,118.193,0.595,257760,-3.947,8
1ChulFMnwxoD74Me8eX2TU,0.000244,0.554,0.963,0.0702,0.431,0.035,128.175,0.918,195147,-3.762,3
7G7tgVYORlDuVprcYHuFJh,0.0148,0.439,0.422,4.84e-05,0.0697,0.0409,81.833,0.551,236933,-17.227,16
4o6BgsqLIBViaGVbx5rbRk,0.234,0.751,0.501,0.112,0.0467,0.0551,167.057,0.902,190627,-12.151,22
78FHUZRbFDCG6VkRAQdFLm,0.134,0.286,0.5,4.57e-05,0.108,0.0357,99.162,0.443,343933,-14.281,16
4YR6Dextuoc3I8nJ0XgzKI,0.159,0.564,0.911,4.36e-05,0.118,0.0536,173.938,0.582,226293,-5.39,25
2PFIZFcGry0po3ZfRZkzKc,0.0318,0.659,0.846,0.0144,0.203,0.0274,107.01,0.659,354636,-5.508,1
3YVPpVJvJG2EauXurPA90F,0.0302,0.638,0.988,1.16e-05,0.371,0.0921,117.955,0.723,220880,-5.042,3
7dQC53NiYOY9gKg3Qsu2Bs,0.313,0.513,0.262,5.51e-06,0.456,0.0276,108.383,0.357,243000,-16.875,0
07ABETRdek3ACMpRPvQuaT,0.0116,0.533,0.783,0.0565,0.186,0.0366,124.874,0.726,234907,-10.61,25
5tdKaKLnC4SgtDZ6RlWeal,0.201,0.832,0.544,0.000139,0.632,0.0442,119.49,0.928,275533,-12.697,18
